D/Generation HD,Adventure||Puzzle
G Prime Into The Rain,Simulation||Indie
Land Sliders,Adventure||Arcade
Pixel Gear,Action||Indie
Gods and Idols,RPG||Strategy||Massively Multiplayer
Plague venue,
The Moon Sliver (itch),Adventure
Red Entity,Action||Shooter
HippiesVsCops,Strategy
They Came Through the Floor,Platformer
Fading Light: Descent,Adventure
The Book Ritual (Beta),
Corner of the Club Simulator,Simulation
Serious Sam Fusion 2017 (beta),Action||Indie
Intelligence: The 314th Clash!,RPG
Que Sera Sera Demo,Action||Shooter||Platformer
Excelsior Phase One: Lysandia,RPG
Space Escape,Shooter
Passing Through the Milky Way,
CORPUS100,Shooter
Thoughts,Platformer
Blasted Bots,Shooter
The Spaghetti Western Excavation,
Life is Feudal: Forest Village,Strategy||Simulation||Indie
Legionwood 2: Rise of the Eternal's Realm,RPG
Shape Master,
My World,
Toilet Tycoon (itch),Strategy||Simulation
"Daddy, Don't Explode Me!",Puzzle
The Spellbent Keep,RPG
Circuit Breakers - Demo,Shooter
Toadie's Adventure,Adventure||Platformer
A Near Dawn: Text Prototype,Adventure
Naval Action,Action||Adventure||Strategy||Simulation||Massively Multiplayer||Indie
Purify,Action
Dog World,RPG
Corra Snows,Platformer
Graveyard Birds (itch),Puzzle
Dark Rogue,Adventure
Bullet Time,Shooter||Platformer
La Boîte Noire,
p o w e r ARM,RPG
Oh No! Not Another J-RPG!,RPG
Mages of Mystralia,Action||Adventure||Indie
Emissary,
Zeus vs Monsters - Math Game,Educational
herboto - LD37,Shooter
Fish Forever,
What Do We Eat for Dinner?,Simulation
Knight of Days,Action
Atomicollider,Action
Torch Cave (itch),Platformer
Lapis Azurai,
SEUM: Speedrunners from Hell,Action||Shooter||Adventure||Arcade||Indie
BLUMAN,Puzzle||Platformer
The Rootkit 1.1,Strategy
Horatio Salt and the Book of the Dead,Adventure
Gobbo goes adventure,Adventure
The Adventure,Platformer
Imperator Defence,Strategy
The Dream Self,Simulation
MAINFRAME,
Sunrise's Pact,Action
Slime Hunter,Adventure
Frog Climbers,Indie
Choice Chamber (itch),Platformer
DokiDoki fanmade,
Push & Pull,Platformer
Micro Island,Platformer
Grab Bag,
Wetwork (itch),Action||Shooter
Alleyway Cat Street,Adventure
World's Fastest Pizza (itch),Action
The old lie,
Andoran Skye XD (itch),RPG
Operator Overload,Casual||Indie
Aloisius,Strategy
Koji,Action
Escape Takashi,Action||Racing
Tender Was the Knight,Puzzle
Stealth Fishing,Simulation
A Fraught Place,
Downside Up,Action
Gary SpringArms - Global Game Jam 17,Action
Cosmonet,
Sudden Strike 4,Action||Strategy
VR Jurassic - Cardboard Park,Simulation
Freddy's Vr,Strategy
Frogbike,Puzzle
Roguefort,Adventure
Lampette,
Scrapper Showdown,Shooter
No Danger Is Too Much,Strategy
Cosmic Chicken,Action||Racing
Captain Lycop: Invasion of the Heters,Action||Adventure||Indie
Papai Noel is Dead,Platformer
Bollocks Biker,Simulation
The infamous @,Action
Verald Defense,Strategy
Dream Gazer,Platformer
